2017-07-03 14:30:38,617 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 660000ms
2017-07-03 14:30:38,669 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@7258c622{/help,null,AVAILABLE}
2017-07-03 14:30:38,763 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@3e478cb8{HTTP/1.1,[http/1.1]}{127.0.0.1:53590}
2017-07-03 14:30:38,764 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @167149ms
2017-07-03 16:39:09,799 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@3e478cb8{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-03 16:39:09,800 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-03 16:39:09,812 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@7258c622{/help,null,UNAVAILABLE}
2017-07-04 12:51:57,703 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-07-04 12:52:30,212 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @67337ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-04 12:52:30,723 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-04 12:52:30,795 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-04 12:52:30,795 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-04 12:52:30,796 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-07-04 12:52:30,870 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@3361f9bf{/help,null,AVAILABLE}
2017-07-04 12:52:30,941 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@75a105d7{HTTP/1.1,[http/1.1]}{127.0.0.1:52828}
2017-07-04 12:52:30,942 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @68067ms
2017-07-04 14:23:28,743 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@75a105d7{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-04 14:23:28,744 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
